username,user_id,message_count
Fossabot,237719657,36109
fisics8,575864269,31792
mikaelabye,738411019,27694
olivx0,180869362,21121
weaverpa1277,518056310,20035
buglicker34,425594085,18851
s0mcs,128002336,11309
ananya23456,1070827722,9276
sahebfps,702459604,9078
8MILOOOO,945025111,9035
gen_11_4_g2,208220433,8488
sukuna_9899,882905075,8469
sparkyyyyu,146902112,8282
subkorean,810145593,7964
1Akise,1053605347,7768
ayeinyoo,976166458,7613
livlovelean,985581497,6669
infernalist,60737792,6587
lithp_trainer,1298928429,6221
zannaval,473464480,6203
xhyperegend_,405400753,5922
thomasK156,32404736,5869
raincoxt,159683863,5367
StreamElements,100135110,5059
dooperboop,156300127,4977
HIPPHOENlX,487869126,4918
itsamejoy,240058110,4777
xlr8vlr,881789578,4711
krooshev,105965020,4671
idotax,430416845,4652
xtraspidey,908260926,4632
smiben,91974718,4439
flashed,107575685,4297
SnorlaxLuvv,559986030,4278
teamwerok,880688762,4234
jemin__12,1410492049,4184
aehenubabus,947438724,4052
clientssssssss,270043163,3997
Yum07_,164515225,3989
male_banana,1379778257,3782
69Deadeye,690710426,3733
IIIllllIIlllIIl,964441467,3662
sethoscope2,617069631,3544
jesskit26,860928517,3298
snowlovescats,806025496,3289
69Perfect,550563399,3265
abismul_,106470102,3261
florescentlockedmyphone,1078900314,3243
heyitsadriana,612891202,3235
Aaron_X72,631444835,3194
duuragdave,750881639,3180
kill3r784,1234523782,3097
kanyurfps,451027217,3095
decay_,172816189,2820
no1judgeplayerna,892217014,2786
YunakVL,597436067,2775
megumikatopotato,900172355,2721
leinnad23,868492702,2638
xdarrenr,188423544,2562
jordanwarden10,1434270582,2543
peders0,575866227,2517
Thubmithive_Femboy,1257510318,2494
pdeeeeeeeee,42689825,2492
nazuki4o7,921703316,2488
Nightbot,19264788,2476
ノートアート,838906170,2439
bloobyboop,603911176,2436
fatgreasya,426229364,2426
BenefitLumberjacks,157493960,2414
mobin_ct,222317450,2396
humbledarren,1270544402,2333
shanksthechud,819457241,2311
ramzeenio,1476815674,2311
UARRRRRRRR,464160477,2290
GojdSat,1228906060,2265
orangee0706,243151607,2208
aissacd,626495097,2198
swagonlevel1000,1130325110,2190
zenmennn,812152363,2165
peekabuuv,447175091,2135
fakenamish,617372113,2131
niel________,573345349,2130
jo_matic246,874491925,2103
syndefi_x,641135834,2071
zyrazXO,1037491693,2045
1levakam,799378603,2044
Red_Lotussss,1084466238,2031
paran0xia_,963079850,2029
izu_aims,189120130,2002
Benjjamin,145072414,1996
hanzo7776,550294034,1946
re1axeres,507033439,1946
skewdz,233960069,1936
kezar05,719463357,1924
hnryzerra,476396178,1905
kilobyteVLR,245194981,1880
Thaarealkayla,715335083,1874
doomtsui,508957147,1862
Assukai,924220200,1852
Skaar___,1390315863,1834
