emote_name,emote_id,usage_count
LUL,425618,3041
<3,555555584,1149
BigPhish,160395,1140
BabyRage,22639,845
cmonBruh,84608,752
Kappa,25,607
:D,555555560,492
:(,555555558,465
:),1,411
DinoDance,emotesv2_dcd06b30a5c24f6eb871e8f5edbd44f7,374
NotLikeThis,58765,277
ResidentSleeper,245,275
shanks18W,emotesv2_657d0e288fb84235b0183d1751dd894a,263
Jebaited,114836,186
shanks18Dap,303578643,183
VoteYea,106293,176
shanks18Lithp,emotesv2_93e00fb7c5074038a38d5f9a018ee371,174
shanks18Pride,emotesv2_28077870fd1842fe8d4f1af667941a4c,142
shanks18Love,emotesv2_834507fc57204de08bdbf9cb402f16f0,128
VoteNay,106294,128
WutFace,28087,126
:/,555555585,126
PopNemo,emotesv2_5d523adb8bbb4786821cd7091e47da21,126
subrozaDance,emotesv2_e34347f651a44f328924a15bb91f50cc,111
HeyGuys,30259,106
shanks18Rlly,emotesv2_2a4b4938434849b999ba7fbf7c8ad4d6,105
Kreygasm,41,100
shanks18Capp,emotesv2_25b5e1b52cea49668cdcc0f7c480f86d,99
Yagoo,emotesv2_de2cc5fc92c645a29d0a4f40a9e7cde5,89
MingLee,68856,88
PogChamp,305954156,88
s0mWin,emotesv2_ee742545adff4730b31297cbfd127019,87
PewPewPew,emotesv2_587405136a8147148c77df74baaa1bf4,82
TwitchConHYPE,emotesv2_13b6dd7f3a3146ef8dc10f66d8b42a96,82
shanks18Ew,emotesv2_20b0cb7668ac45ab974432e7cbcf82d5,80
SeemsGood,64138,77
KappaRoss,70433,76
CarlSmile,166266,76
shanks18Gg,emotesv2_686f2e987b59456d94105ef3e0cffeae,74
TwitchVotes,479745,72
DansGame,33,71
JinxLUL,emotesv2_4e1c5651219a462894aefa8b6720efc5,70
mikael64Dansito,emotesv2_cb78a43c388c4aeb88ecd2bc59c95700,69
KappaPride,55338,66
WeDidThat,emotesv2_a7ab2c184e334d4a9784e6e5d51947f7,66
mikael64Dansi,emotesv2_e86360b0d91143fba439a996bce0cbde,66
shanks18L,emotesv2_99a251ce5cde406d8bc04cff762d2cdf,65
OpieOP,100590,63
BatChest,115234,60
MrDestructoid,28,59
PotFriend,emotesv2_e02650251d204198923de93a0c62f5f5,58
GlitchCat,304486301,58
shanks18Oilers,emotesv2_e05533439ebf463c81e6d2b6c4f2b4cf,58
GoldPLZ,emotesv2_c1f4899e65cf4f53b2fd98e15733973a,57
shanks18Dolphin,303578646,56
shanks18Rage,emotesv2_8cfbee308c864f88aa511369bebda672,56
KonCha,160400,55
:O,555555580,52
shanks18Whiff,emotesv2_312b64e524984087a76b859b66e78032,51
shanks18SHEESH,303868973,49
GlitchNRG,304489309,49
TriHard,120232,49
shanks18Sus,emotesv2_e699c710ce88453aae905a5fddde63f3,47
shanks18Pepehands,emotesv2_d9b85a99e1344066be9ceb44a6f730dc,47
shanks18500IQ,emotesv2_52017058c1984591965c7e1097f52490,47
BigSad,emotesv2_db3cd788399347a8b2ebfb8a85f5badb,46
FutureMan,98562,44
shanks18Scared,emotesv2_6d9a35d33b644945be42123092218456,43
shanks18ShanksMic,emotesv2_a40d66986d3e460f94942db48371adda,41
heyits946DuckButt,emotesv2_0677f885896b400fb13a74ccf4465c12,41
GayPride,307827321,39
4Head,354,38
<3,445,37
SipTime,emotesv2_ba5ae4be5c724ca59d649fa713ff0730,36
TPFufun,508650,35
subrozaOut,emotesv2_a1d32b8c8e56435796198ea4395d2f36,34
Kappa,80393,34
shanks18Ballup,emotesv2_d1480ca8259d46839f034f67f2756157,33
SUBprise,emotesv2_fcbeed664f7c47d6ba3b57691275ef51,33
shanks18Dead,emotesv2_2b94a1619f5d42fab93693092dfa38d6,33
heyits946AdrianaLove,emotesv2_d82c4ed1bf7f4820b92dbe1c1975bc1a,33
BloodTrail,69,32
xqcL,1035663,31
MyAvatar,emotesv2_c0c9c932c82244ff920ad2134be90afb,31
:P,555555591,31
BrokeBack,4057,30
:D,443,29
shanks18PARTY,303868953,29
shanks18Cap,emotesv2_ae93acafb29b453fa7c6a52eb34b7962,29
:D,496,29
;),555555589,28
:p,555555593,28
MegaConsume,emotesv2_aa8db3de21e1465dab81bedfa47e29f2,27
BratChat,emotesv2_f2fd474fbe964964b2570671575b39ea,27
FailFish,360,27
subrozaYUH,emotesv2_96ca10468fa947419f4cd178c979245a,27
VoHiYo,81274,26
elyys1Spin,emotesv2_76b44af81ad04e6b99be422761f87573,26
MiniK,115849,25
SMOrc,52,24
